"Spotted.by","Total.Jays","Map","Map.Type","Day","Month","Year"
"Total",983,"Workshop Chamber","Other","Tue","Dec","2023"
"Seb",451,"Workshop Chamber","Other","Thu","Dec","2024"
"Richard",325,"Eichenwalde","Hybrid","Sun","Sep","2023"
"Vixx",101,"Midtown","Payload","Tue","Jun","2023"
"Josiad",44,"Junkertown","Payload","Tue","Jan","2024"
"Basileus",12,"Blizzard World","Payload","Fri","Nov","2023"
"Sqweryl",12,"Eichenwalde","Control","Fri","Oct","2023"
"Mac",9,"Suravasa","Flashpoint","Sun","Oct","2022"
"verdantJay",8,"Antarctic Peninsula","Control","Sun","Dec","2023"
"Marcello",6,NA,NA,"Sun","Dec","2022"
"Asheya",2,"Busan","Control","Wed","Jan","2023"
"Despair",2,"Château Guillard","Other","Sun","Jul","2023"
"Richard ",1,"Shambali Monastery","Payload","Mon","Nov","2024"
